Campaign,"Ad Group","Ad Group Status","Max CPC"
"CC | Perfume Árabe Masc | Search | BR","AG1 - Generico BOFU",Enabled,1.00
"CC | Perfume Árabe Masc | Search | BR","AG2 - Marca arabe",Enabled,1.00
"CC | Perfume Árabe Masc | Search | BR","AG3 - Beneficio",Paused,1.00
"CC | Perfume Árabe Masc | Search | BR","AG4 - Ocasiao",Paused,1.00
"CC | Extratora Estofado | Search | BR","AG1 - Compra direta",Enabled,1.20
"CC | Extratora Estofado | Search | BR","AG2 - Marca",Enabled,1.20
"CC | Extratora Estofado | Search | BR","AG3 - Dor e uso",Paused,1.20
"CC | Depilador Luz Pulsada | Search | BR","AG1 - Compra de aparelho",Enabled,1.20
"CC | Depilador Luz Pulsada | Search | BR","AG2 - Marca",Enabled,1.20
"CC | Depilador Luz Pulsada | Search | BR","AG3 - Depilador a laser",Paused,1.20
